Entity,Area,DAT
FPAdd_f100_VHDL,2534.713983,-1.72
FPAdd_f200_VHDL,3510.135948,-1.02
FPAdd_f300_VHDL,4175.401919,-0.78
FPAdd_f400_VHDL,5218.653888,-0.71
FPAdd_f500_VHDL,6054.957849,-0.64
FPAdd_f600_VHDL,6482.153833,-0.62
FPMult_f100_VHDL,15761.031856,-4.85
FPMult_f200_VHDL,6176.519972,-1.41
FPMult_f300_VHDL,6144.865966,-1.36
FPMult_f400_VHDL,6875.833940,-1.32
FPMult_f500_VHDL,7296.379919,-1.31
FPMult_f600_VHDL,7953.133895,-1.30
bf16_add_ret_pipe1,2930.521984,-1.43
bf16_add_ret_pipe10,4593.021886,-0.57
bf16_add_ret_pipe11,4993.617870,-0.63
bf16_add_ret_pipe12,4950.525873,-0.66
bf16_add_ret_pipe2,3122.041968,-1.06
bf16_add_ret_pipe3,3133.479959,-0.95
bf16_add_ret_pipe4,3303.453948,-0.80
bf16_add_ret_pipe5,3425.015936,-0.80
bf16_add_ret_pipe6,3698.729921,-0.69
bf16_add_ret_pipe7,3936.533911,-0.63
bf16_add_ret_pipe8,4507.369891,-0.55
bf16_add_ret_pipe9,4698.357883,-0.47
bf16_mult_ret_pipe1,3920.573983,-1.23
bf16_mult_ret_pipe10,8271.535822,-0.76
bf16_mult_ret_pipe11,8607.227812,-0.75
bf16_mult_ret_pipe12,9373.573783,-0.68
bf16_mult_ret_pipe2,4287.919971,-1.08
bf16_mult_ret_pipe3,4933.767943,-0.96
bf16_mult_ret_pipe4,4694.899954,-0.97
bf16_mult_ret_pipe5,5518.967913,-0.86
bf16_mult_ret_pipe6,5893.761896,-0.80
bf16_mult_ret_pipe7,6120.127889,-0.78
bf16_mult_ret_pipe8,6839.125865,-0.79
bf16_mult_ret_pipe9,7686.069841,-0.85
