Type,PipelineStages,Area,MaxDataArrival
Add,1,3098.899982,1.57
Add,2,3070.703968,1.13
Add,3,2996.755958,1.04
Add,4,3153.961945,0.77
Add,5,3435.921935,0.80
Add,6,3577.965925,0.77
Add,7,4084.695910,0.62
Add,8,4057.297909,0.60
Add,9,4414.269893,0.39
Add,10,4868.331875,0.56
Add,11,4659.521883,0.64
Add,12,4992.819872,0.70
Mult,1,3925.893983,1.15
Mult,2,4869.129949,1.13
Mult,3,5089.377940,0.95
Mult,4,4786.935952,0.95
Mult,5,5574.561912,0.87
Mult,6,5916.371898,0.82
Mult,7,5836.305898,0.92
Mult,8,6023.569890,0.90
Mult,9,7655.213843,0.84
Mult,10,8091.187828,0.80
Mult,11,8705.913807,0.73
Mult,12,9065.279794,0.70
